data,cotacao_venda,cotacao_compra,cotacao_media
2023-01-02,5.3436,5.343,5.3433
2023-01-03,5.3759,5.3753,5.3756
2023-01-04,5.4459,5.4453,5.4456
2023-01-05,5.4026,5.402,5.4023
2023-01-06,5.2855,5.2849,5.2852
2023-01-09,5.2967,5.2961,5.2964
2023-01-10,5.2395,5.2389,5.2392
2023-01-11,5.202,5.2014,5.2017
2023-01-12,5.14,5.1394,5.1396999999999995
2023-01-13,5.1146,5.114,5.1143
2023-01-16,5.1115,5.1109,5.1112
2023-01-17,5.1203,5.1197,5.12
2023-01-18,5.0909,5.0903,5.0906
2023-01-19,5.2144,5.2138,5.2141
2023-01-20,5.1986,5.198,5.1983
2023-01-23,5.1922,5.1916,5.1919
2023-01-24,5.1696,5.169,5.1693
2023-01-25,5.1042,5.1036,5.103899999999999
2023-01-26,5.0951,5.0945,5.0948
2023-01-27,5.0767,5.0761,5.0764
2023-01-30,5.0959,5.0953,5.0956
2023-01-31,5.0993,5.0987,5.099
2023-02-01,5.0721,5.0715,5.0718
2023-02-02,4.9901,4.9895,4.9898
2023-02-03,5.103,5.1024,5.1027000000000005
2023-02-06,5.1763,5.1757,5.176
2023-02-07,5.1695,5.1689,5.1692
2023-02-08,5.2036,5.203,5.2033000000000005
2023-02-09,5.2315,5.2309,5.231199999999999
2023-02-10,5.2526,5.252,5.2523
2023-02-13,5.1834,5.1828,5.1831
2023-02-14,5.1507,5.1501,5.150399999999999
2023-02-15,5.2243,5.2237,5.224
2023-02-16,5.2432,5.2426,5.242900000000001
2023-02-17,5.2012,5.2006,5.2009
2023-02-22,5.173,5.1724,5.1727
2023-02-23,5.133,5.1324,5.1327
2023-02-24,5.1791,5.1785,5.1788
2023-02-27,5.196,5.1954,5.1957
2023-02-28,5.2078,5.2072,5.2075
2023-03-01,5.207,5.2064,5.2067
2023-03-02,5.208,5.2074,5.2077
2023-03-03,5.2037,5.2031,5.2034
2023-03-06,5.197,5.1964,5.1967
2023-03-07,5.1901,5.1895,5.1898
2023-03-08,5.1387,5.1381,5.1384
2023-03-09,5.1353,5.1347,5.135
2023-03-10,5.1822,5.1816,5.181900000000001
2023-03-13,5.24,5.2394,5.2397
2023-03-14,5.2362,5.2356,5.2359
2023-03-15,5.2981,5.2975,5.2978000000000005
2023-03-16,5.2892,5.2886,5.2889
2023-03-17,5.2679,5.2673,5.2676
2023-03-20,5.2467,5.2461,5.2463999999999995
2023-03-21,5.2444,5.2438,5.2440999999999995
2023-03-22,5.2648,5.2642,5.2645
2023-03-23,5.2632,5.2626,5.2629
2023-03-24,5.2921,5.2915,5.2918
2023-03-27,5.2306,5.23,5.2303
2023-03-28,5.1733,5.1727,5.173
2023-03-29,5.1493,5.1487,5.149
2023-03-30,5.1254,5.1248,5.1251
2023-03-31,5.0804,5.0798,5.0801
2023-04-03,5.0637,5.0631,5.0634
2023-04-04,5.0762,5.0756,5.0759
2023-04-05,5.0447,5.0441,5.0443999999999996
2023-04-06,5.0683,5.0677,5.068
2023-04-10,5.0834,5.0828,5.0831
2023-04-11,5.0128,5.0122,5.0125
2023-04-12,4.9496,4.949,4.9493
2023-04-13,4.9097,4.9091,4.9094
2023-04-14,4.9455,4.9449,4.9452
2023-04-17,4.9421,4.9415,4.9418
2023-04-18,4.9678,4.9672,4.9675
2023-04-19,5.0467,5.0461,5.0464
2023-04-20,5.0497,5.0491,5.0494
2023-04-24,5.0595,5.0589,5.059200000000001
2023-04-25,5.0613,5.0607,5.061
2023-04-26,5.0585,5.0579,5.0582
2023-04-27,5.015,5.0144,5.0146999999999995
2023-04-28,5.0007,5.0001,5.0004
2023-05-02,5.0334,5.0329,5.03315
2023-05-03,5.0227,5.0221,5.0224
2023-05-04,5.0106,5.01,5.0103
2023-05-05,4.9696,4.969,4.9693000000000005
2023-05-08,4.9696,4.969,4.9693000000000005
2023-05-09,5.0007,5.0001,5.0004
2023-05-10,4.9547,4.9541,4.9544
2023-05-11,4.9696,4.969,4.9693000000000005
2023-05-12,4.9234,4.9228,4.9231
2023-05-15,4.9103,4.9097,4.91
2023-05-16,4.9122,4.9116,4.9119
2023-05-17,4.9513,4.9507,4.9510000000000005
2023-05-18,4.9647,4.9641,4.9643999999999995
2023-05-19,4.9858,4.9852,4.9855
2023-05-22,4.968,4.9674,4.9677
2023-05-23,4.9674,4.9668,4.9671
2023-05-24,4.9474,4.9468,4.9471
2023-05-25,4.999,4.9984,4.9986999999999995
2023-05-26,5.0114,5.0108,5.0111
2023-05-29,4.9954,4.9948,4.9951
2023-05-30,5.0593,5.0587,5.059
2023-05-31,5.0959,5.0953,5.0956
2023-06-01,5.035,5.0344,5.0347
2023-06-02,4.9558,4.9552,4.9555
2023-06-05,4.9236,4.923,4.9233
2023-06-06,4.9292,4.9286,4.9289000000000005
2023-06-07,4.9119,4.9113,4.9116
2023-06-09,4.8922,4.8916,4.8919
2023-06-12,4.8832,4.8826,4.8829
2023-06-13,4.8533,4.8527,4.853
2023-06-14,4.8462,4.8456,4.8459
2023-06-15,4.8222,4.8216,4.821899999999999
2023-06-16,4.8286,4.828,4.8283000000000005
2023-06-19,4.7803,4.7797,4.78
2023-06-20,4.793,4.7924,4.7927
2023-06-21,4.7795,4.7789,4.7791999999999994
2023-06-22,4.775,4.7744,4.7747
2023-06-23,4.7799,4.7793,4.7796
2023-06-26,4.7698,4.7692,4.7695
2023-06-27,4.7903,4.7897,4.79
2023-06-28,4.8563,4.8557,4.856
2023-06-29,4.8584,4.8578,4.8581
2023-06-30,4.8192,4.8186,4.8189
2023-07-03,4.7876,4.787,4.7873
2023-07-04,4.8056,4.805,4.8053
2023-07-05,4.8577,4.8571,4.8574
2023-07-06,4.8977,4.8971,4.8974
2023-07-07,4.8799,4.8793,4.8796
2023-07-10,4.8735,4.8729,4.8732
2023-07-11,4.8949,4.8943,4.8946000000000005
2023-07-12,4.8058,4.8052,4.8055
2023-07-13,4.8038,4.8032,4.8035
2023-07-14,4.7957,4.7951,4.7954
2023-07-17,4.8302,4.8296,4.8299
2023-07-18,4.804,4.8034,4.8037
2023-07-19,4.8,4.7994,4.7997
2023-07-20,4.7888,4.7882,4.7885
2023-07-21,4.7732,4.7726,4.7729
2023-07-24,4.7457,4.7451,4.7454
2023-07-25,4.7496,4.749,4.7493
2023-07-26,4.7368,4.7362,4.7364999999999995
2023-07-27,4.7202,4.7196,4.7199
2023-07-28,4.7253,4.7247,4.725
2023-07-31,4.7415,4.7409,4.7412
2023-08-01,4.7752,4.7746,4.774900000000001
2023-08-02,4.8083,4.8077,4.808
2023-08-03,4.8797,4.8791,4.8794
2023-08-04,4.8609,4.8603,4.8606
2023-08-07,4.901,4.9004,4.9007000000000005
2023-08-08,4.9217,4.9211,4.9214
2023-08-09,4.9015,4.9009,4.9012
2023-08-10,4.8518,4.8512,4.8515
2023-08-11,4.8918,4.8912,4.891500000000001
2023-08-14,4.9481,4.9475,4.9478
2023-08-15,4.9812,4.9806,4.9809
2023-08-16,4.9772,4.9765,4.97685
2023-08-17,4.9816,4.981,4.9813
2023-08-18,4.9724,4.9718,4.9721
2023-08-21,4.9847,4.9841,4.9844
2023-08-22,4.9431,4.9425,4.9428
2023-08-23,4.8977,4.8971,4.8974
2023-08-24,4.8748,4.8742,4.874499999999999
2023-08-25,4.8772,4.8766,4.8769
2023-08-28,4.8938,4.8933,4.893549999999999
2023-08-29,4.8706,4.87,4.8703
2023-08-30,4.8653,4.8647,4.865
2023-08-31,4.9219,4.9213,4.9216
2023-09-01,4.9318,4.9312,4.9315
2023-09-04,4.9176,4.917,4.9173
2023-09-05,4.9705,4.9699,4.9702
2023-09-06,4.9762,4.9756,4.9759
2023-09-08,4.9835,4.9829,4.9832
2023-09-11,4.9366,4.936,4.9363
2023-09-12,4.9505,4.9499,4.950200000000001
2023-09-13,4.9171,4.9165,4.9168
2023-09-14,4.8751,4.8745,4.8748000000000005
2023-09-15,4.8689,4.8683,4.8686
2023-09-18,4.8535,4.8529,4.8532
2023-09-19,4.8575,4.8569,4.857200000000001
2023-09-20,4.8487,4.8481,4.8484
2023-09-21,4.9229,4.9223,4.9226
2023-09-22,4.9131,4.9125,4.9128
2023-09-25,4.9606,4.96,4.9603
2023-09-26,4.9717,4.9711,4.9714
2023-09-27,5.0289,5.0283,5.0286
2023-09-28,5.0475,5.0469,5.0472
2023-09-29,5.0076,5.007,5.0073
2023-10-02,5.0679,5.0673,5.0676000000000005
2023-10-03,5.11,5.1094,5.1097
2023-10-04,5.1526,5.152,5.1523
2023-10-05,5.1713,5.1707,5.170999999999999
2023-10-06,5.1918,5.1912,5.1915
2023-10-09,5.1666,5.166,5.1663
2023-10-10,5.0862,5.0856,5.0859000000000005
2023-10-11,5.0496,5.049,5.049300000000001
2023-10-13,5.0625,5.0619,5.0622
2023-10-16,5.0618,5.0612,5.0615000000000006
2023-10-17,5.0384,5.0378,5.0381
2023-10-18,5.0568,5.0562,5.0565
2023-10-19,5.054,5.0534,5.0537
2023-10-20,5.0528,5.0522,5.0525
2023-10-23,5.0164,5.0158,5.0161
2023-10-24,5.0065,5.0059,5.0062
2023-10-25,4.9981,4.9975,4.9978
2023-10-26,5.0055,5.0049,5.0052
2023-10-27,4.948,4.9474,4.9477
2023-10-30,5.0074,5.0068,5.007099999999999
2023-10-31,5.0575,5.0569,5.0572
2023-11-01,5.0194,5.0188,5.0191
2023-11-03,4.891,4.8904,4.8907
2023-11-06,4.8999,4.8993,4.8995999999999995
2023-11-07,4.867,4.8664,4.8667
2023-11-08,4.8855,4.8849,4.8852
2023-11-09,4.9007,4.9001,4.900399999999999
2023-11-10,4.9219,4.9213,4.9216
2023-11-13,4.9247,4.924,4.9243500000000004
2023-11-14,4.8682,4.8676,4.867900000000001
2023-11-16,4.8575,4.8569,4.857200000000001
2023-11-17,4.8849,4.8843,4.8846
2023-11-20,4.8723,4.8717,4.872
2023-11-21,4.8806,4.88,4.8803
2023-11-22,4.8968,4.8962,4.8965
2023-11-23,4.8931,4.8925,4.892799999999999
2023-11-24,4.8927,4.8921,4.8924
2023-11-27,4.8951,4.8945,4.8948
2023-11-28,4.8867,4.8861,4.8864
2023-11-29,4.8933,4.8927,4.893
2023-11-30,4.9355,4.9349,4.9352
2023-12-01,4.9191,4.9185,4.9188
2023-12-04,4.9091,4.9085,4.908799999999999
2023-12-05,4.9522,4.9516,4.9519
2023-12-06,4.9031,4.9025,4.9028
2023-12-07,4.8949,4.8943,4.8946000000000005
2023-12-08,4.9158,4.9152,4.9155
2023-12-11,4.944,4.9434,4.9437
2023-12-12,4.9476,4.947,4.9473
2023-12-13,4.958,4.9573,4.95765
2023-12-14,4.8912,4.8906,4.8909
2023-12-15,4.9397,4.9391,4.9394
2023-12-18,4.9399,4.9393,4.9396
2023-12-19,4.8663,4.8657,4.866
2023-12-20,4.8766,4.876,4.8763000000000005
2023-12-21,4.8755,4.8749,4.8751999999999995
2023-12-22,4.8619,4.8613,4.8616
2023-12-26,4.8368,4.8362,4.8365
2023-12-27,4.8306,4.83,4.830299999999999
2023-12-28,4.8413,4.8407,4.841
2023-12-29,4.8413,4.8407,4.841
